# chrom	start	end	chrom	start	end	Adipocytes	Endothelium	Heart-Cardio	Oligodend	Neuron	Liver-Hep	Pancreas-Duct	Pancreas-Acinar	Pancreas-Delta	Pancreas-Beta	Pancreas-Alpha	Kidney-Ep	Thyroid-Ep	Fallopian-Ep	Ovary+Endom-Ep	Eryth-prog	Blood-T	Blood-NK	Blood-Mono+Macro	Blood-Granul	Blood-B	Head-Neck-Ep	Lung-Ep-Bron	Prostate-Ep	Bladder-Ep	Breast-Luminal-Ep	Breast-Basal-Ep	Lung-Ep-Alveo	Gastric-Ep	Colon-Ep	Small-Int-Ep	Adipocytes	Endothelium	Heart-Cardio	Oligodend	Neuron	Liver-Hep	Pancreas-Duct	Pancreas-Acinar	Pancreas-Delta	Pancreas-Beta	Pancreas-Alpha	Kidney-Ep	Thyroid-Ep	Fallopian-Ep	Ovary+Endom-Ep	Eryth-prog	Blood-T	Blood-NK	Blood-Mono+Macro	Blood-Granul	Blood-B	Head-Neck-Ep	Lung-Ep-Bron	Prostate-Ep	Bladder-Ep	Breast-Luminal-Ep	Breast-Basal-Ep	Lung-Ep-Alveo	Gastric-Ep	Colon-Ep	Small-Int-Ep
chr1	1045636	1045789	chr1	1045636	1045788	0.0	0.007407407407407408	0.0	0.0	0.007936507936507936	0.0	0.0	0.0	0.03571428571428571	0.05263157894736842	0.02564102564102564	0.20202020202020202	0.038461538461538464	0.0	0.06666666666666667	0.2727272727272727	0.004016064257028112	0.0	0.0	0.0	0.0	0.0	0.0	0.047619047619047616	0.043478260869565216	0.0	0.0	0.0	0.21341463414634146	0.9752066115702479	0.21621621621621623	43.0	270.0	42.0	53.0	126.0	63.0	24.0	16.0	28.0	19.0	39.0	99.0	26.0	29.0	45.0	33.0	249.0	31.0	176.0	37.0	41.0	180.0	44.0	42.0	23.0	30.0	39.0	65.0	164.0	121.0	37.0
chr1	1095821	1096180	chr1	1095821	1096179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04918032786885246	0.0	0.0	0.014970059880239521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7575757575757576	0.0	91.0	515.0	106.0	93.0	294.0	112.0	40.0	56.0	51.0	78.0	66.0	185.0	70.0	45.0	91.0	61.0	485.0	57.0	334.0	61.0	82.0	413.0	108.0	123.0	72.0	61.0	62.0	120.0	332.0	231.0	56.0
chr1	1197515	1197867	chr1	1197515	1197866	0.006666666666666667	0.0010319917440660474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.967741935483871	0.0	0.0	0.0	0.0	0.0	0.0014705882352941176	0.0	0.0	0.0	0.0	0.015384615384615385	0.0	0.0	0.0	0.007751937984496124	150.0	969.0	152.0	140.0	480.0	222.0	77.0	83.0	94.0	93.0	123.0	304.0	104.0	116.0	174.0	155.0	840.0	89.0	608.0	116.0	177.0	680.0	197.0	188.0	132.0	86.0	130.0	217.0	587.0	342.0	129.0
chr1	1336479	1336761	chr1	1336479	1336760	0.02127659574468085	0.023255813953488372	0.020833333333333332	0.0	0.047337278106508875	0.9433962264150944	0.0	0.02702702702702703	0.0	0.0	0.0	0.011627906976744186	0.0	0.0	0.0	0.058823529411764705	0.0	0.0	0.015789473684210527	0.0	0.0	0.005208333333333333	0.0	0.0	0.0	0.03571428571428571	0.09803921568627451	0.0196078431372549	0.0111731843575419	0.0	0.0	47.0	344.0	48.0	48.0	169.0	53.0	31.0	37.0	28.0	32.0	32.0	86.0	35.0	34.0	51.0	34.0	274.0	29.0	190.0	47.0	47.0	192.0	72.0	64.0	37.0	28.0	51.0	51.0	179.0	96.0	34.0
chr1	1435887	1436130	chr1	1435887	1436129	0.0392156862745098	0.00641025641025641	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.3380281690140845	0.03125	0.00303951367781155	0.0	0.00796812749003984	0.021739130434782608	0.0	0.011627906976744186	0.0	0.01694915254237288	0.08163265306122448	0.0	0.0	0.9506172839506173	0.008968609865470852	0.08461538461538462	0.045454545454545456	51.0	312.0	48.0	53.0	207.0	82.0	30.0	41.0	35.0	35.0	49.0	111.0	32.0	36.0	71.0	32.0	329.0	37.0	251.0	46.0	71.0	258.0	58.0	59.0	49.0	41.0	44.0	81.0	223.0	130.0	44.0
chr1	1491549	1491951	chr1	1491549	1491950	0.0	0.0	0.00819672131147541	0.0	0.002785515320334262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.918918918918919	0.0	0.0	0.02631578947368421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054945054945054944	0.0	0.0	0.0	0.002061855670103093	0.00392156862745098	0.0	123.0	804.0	122.0	112.0	359.0	178.0	71.0	49.0	80.0	77.0	87.0	243.0	111.0	95.0	132.0	114.0	718.0	76.0	485.0	96.0	166.0	548.0	139.0	157.0	91.0	69.0	104.0	164.0	485.0	255.0	95.0
chr1	1492054	1492375	chr1	1492054	1492374	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08695652173913043	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	9.0	81.0	16.0	10.0	32.0	21.0	7.0	7.0	10.0	3.0	3.0	23.0	17.0	13.0	14.0	7.0	69.0	3.0	56.0	10.0	12.0	59.0	11.0	17.0	18.0	8.0	7.0	15.0	40.0	18.0	4.0
chr1	1547175	1547251	chr1	1547175	1547250	0.01694915254237288	0.01405152224824356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.05357142857142857	0.0	0.0	0.0034129692832764505	0.0	0.0	0.06158357771260997	0.12162162162162163	0.0	0.0	0.0	0.0	0.9807692307692307	0.0037313432835820895	0.005434782608695652	0.018518518518518517	59.0	427.0	72.0	84.0	210.0	85.0	29.0	44.0	37.0	52.0	43.0	143.0	64.0	39.0	74.0	56.0	412.0	49.0	293.0	68.0	93.0	341.0	74.0	71.0	81.0	51.0	51.0	104.0	268.0	184.0	54.0
chr1	1560429	1560532	chr1	1560429	1560531	0.0	0.03278688524590164	0.8586956521739131	0.014492753623188406	0.03139013452914798	0.0	0.0	0.0	0.0	0.0	0.0	0.014814814814814815	0.0	0.0	0.0	0.06557377049180328	0.021447721179624665	0.045454545454545456	0.0035087719298245615	0.0	0.0	0.010238907849829351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	427.0	92.0	69.0	223.0	94.0	34.0	29.0	38.0	39.0	45.0	135.0	64.0	39.0	81.0	61.0	373.0	44.0	285.0	62.0	68.0	293.0	81.0	72.0	69.0	44.0	64.0	85.0	309.0	145.0	54.0
chr1	1560959	1561055	chr1	1560959	1561054	0.0	0.005154639175257732	0.9166666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057692307692307696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	388.0	72.0	85.0	227.0	93.0	40.0	46.0	38.0	41.0	58.0	129.0	42.0	47.0	64.0	52.0	357.0	44.0	261.0	49.0	69.0	284.0	81.0	97.0	57.0	56.0	64.0	79.0	264.0	166.0	50.0
