# chrom	start	end	chrom	start	end	Adipocytes	Endothelium	Heart-Cardio	Oligodend	Neuron	Liver-Hep	Pancreas-Duct	Pancreas-Acinar	Pancreas-Delta	Pancreas-Beta	Pancreas-Alpha	Kidney-Ep	Thyroid-Ep	Fallopian-Ep	Ovary+Endom-Ep	Eryth-prog	Blood-T	Blood-NK	Blood-Mono+Macro	Blood-Granul	Blood-B	Head-Neck-Ep	Lung-Ep-Bron	Prostate-Ep	Bladder-Ep	Breast-Luminal-Ep	Breast-Basal-Ep	Lung-Ep-Alveo	Gastric-Ep	Colon-Ep	Small-Int-Ep
chr1	1045636	1045789	chr1	1045636	1045788	0.9	0.91	0.97	0.94	0.91	0.95	0.96	0.92	0.84	0.91	0.87	0.79	0.94	0.95	0.84	0.74	0.94	0.94	0.95	0.94	0.95	0.94	0.94	0.89	0.8	0.96	0.95	0.95	0.61	0.17	0.75
chr1	1095821	1096180	chr1	1095821	1096179	0.95	0.98	0.98	1.0	0.99	0.99	0.98	0.99	1.0	0.99	0.99	0.99	0.99	0.99	0.99	0.8	0.97	0.98	0.97	0.98	0.98	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.97	0.19	0.96
chr1	1197515	1197867	chr1	1197515	1197866	0.98	0.98	0.98	0.99	0.98	0.98	0.98	0.98	0.99	0.98	0.99	0.98	0.99	0.97	0.99	0.2	0.99	0.98	0.99	0.99	0.99	0.95	0.98	0.98	0.98	0.96	0.77	0.98	0.98	0.96	0.97
chr1	1336479	1336761	chr1	1336479	1336760	0.81	0.88	0.89	0.89	0.81	0.25	0.91	0.79	0.9	0.88	0.9	0.93	0.95	0.9	0.95	0.89	0.95	0.95	0.93	0.97	0.92	0.85	0.84	0.86	0.93	0.93	0.67	0.91	0.87	0.9	0.92
chr1	1435887	1436130	chr1	1435887	1436129	0.84	0.88	0.92	0.97	0.95	0.96	0.94	0.92	0.97	0.95	0.95	0.96	0.77	0.96	0.66	0.88	0.97	0.97	0.95	0.95	0.93	0.92	0.84	0.92	0.91	0.93	0.91	0.23	0.93	0.86	0.86
chr1	1491549	1491951	chr1	1491549	1491950	0.95	0.96	0.96	0.98	0.97	0.98	0.98	0.96	0.98	0.98	0.98	0.97	0.23	0.97	0.97	0.92	0.98	0.98	0.98	0.99	0.98	0.96	0.97	0.98	0.95	0.99	0.97	0.97	0.97	0.98	0.98
chr1	1492054	1492375	chr1	1492054	1492374	0.89	0.89	0.9	0.91	0.92	0.93	0.92	0.89	0.91	0.88	0.9	0.72	0.17	0.9	0.92	0.85	0.93	0.91	0.93	0.94	0.85	0.87	0.9	0.92	0.89	0.93	0.9	0.93	0.91	0.92	0.91
chr1	1547175	1547251	chr1	1547175	1547250	0.89	0.95	0.99	0.98	0.98	0.99	0.99	0.96	0.99	0.98	0.99	0.99	0.68	0.98	0.98	0.78	0.98	0.96	0.98	0.97	0.99	0.81	0.61	0.98	0.94	0.99	0.99	0.05	0.97	0.88	0.81
chr1	1560429	1560532	chr1	1560429	1560531	0.97	0.94	0.08	0.97	0.88	0.99	1.0	0.99	0.98	1.0	1.0	0.99	0.99	1.0	0.99	0.75	0.94	0.94	0.97	1.0	0.91	0.98	0.98	0.99	0.98	1.0	0.99	0.99	0.99	1.0	0.98
chr1	1560959	1561055	chr1	1560959	1561054	1.0	0.98	0.16	1.0	1.0	1.0	1.0	1.0	1.0	0.99	1.0	1.0	0.99	1.0	1.0	0.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99	1.0	1.0
chr1	1595934	1596277	chr1	1595934	1596276	0.75	0.99	1.0	0.99	0.93	1.0	1.0	0.27	1.0	1.0	0.76	1.0	1.0	0.98	0.99	0.66	1.0	1.0	1.0	1.0	1.0	0.93	0.98	1.0	1.0	0.99	1.0	0.99	0.97	0.95	0.99
chr1	1700328	1700815	chr1	1700328	1700814	0.97	0.98	0.98	0.98	0.98	0.14	0.99	0.95	0.97	0.98	0.98	0.99	0.98	0.99	0.98	0.87	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.99	0.99	0.98	0.98	0.98	0.97	0.97	0.97
chr1	1717283	1717823	chr1	1717283	1717822	0.93	0.96	0.97	0.95	0.94	0.97	0.97	0.96	0.95	0.95	0.95	0.96	0.41	0.97	0.96	0.92	0.97	0.98	0.97	0.97	0.97	0.96	0.95	0.97	0.94	0.97	0.96	0.96	0.97	0.96	0.97
chr1	1951708	1951898	chr1	1951708	1951897	0.8	0.85	0.84	0.72	0.27	0.85	0.81	0.77	0.94	0.95	0.91	0.84	0.83	0.82	0.77	0.64	0.9	0.9	0.9	0.92	0.89	0.79	0.8	0.79	0.8	0.86	0.82	0.8	0.85	0.73	0.74
chr1	1983573	1983759	chr1	1983573	1983758	0.74	0.85	0.95	0.98	0.95	0.99	0.96	0.96	0.97	0.99	0.98	0.94	0.92	0.98	0.99	0.71	0.99	0.97	0.98	0.99	0.98	0.89	0.77	0.96	0.97	0.99	0.99	0.17	0.96	0.97	0.81
chr1	2007323	2007948	chr1	2007323	2007947	0.87	0.92	0.97	0.79	0.35	0.98	0.97	0.97	0.96	0.97	0.97	0.97	0.97	0.97	0.97	0.67	0.96	0.96	0.97	0.97	0.96	0.97	0.97	0.98	0.97	0.97	0.95	0.95	0.97	0.98	0.97
chr1	2191267	2191434	chr1	2191267	2191433	0.87	0.93	0.72	0.65	0.15	0.98	0.97	0.98	0.56	0.46	0.3	0.91	0.86	0.99	0.99	0.89	0.98	0.99	0.98	0.99	0.98	0.94	0.96	0.97	0.98	0.98	0.95	0.97	0.97	0.99	0.99
chr1	2240840	2241062	chr1	2240840	2241061	0.86	0.9	0.88	0.94	0.38	0.94	0.95	0.93	0.94	0.95	0.94	0.93	0.96	0.97	0.92	0.83	0.88	0.94	0.93	0.89	0.92	0.89	0.88	0.91	0.93	0.95	0.91	0.93	0.92	0.91	0.91
chr1	2315598	2316184	chr1	2315598	2316183	0.95	0.95	0.97	0.96	0.25	0.97	0.98	0.92	0.97	0.97	0.98	0.99	0.99	0.98	0.98	0.85	0.98	0.99	0.98	0.97	0.96	0.97	0.97	0.98	0.98	0.99	0.98	0.99	0.98	0.98	0.99
chr1	2949670	2949807	chr1	2949670	2949806	0.94	0.94	0.98	0.99	0.99	0.9	1.0	0.92	0.97	0.97	0.93	0.98	1.0	0.98	0.9	0.73	0.24	0.69	0.93	0.96	0.92	0.9	0.95	0.99	0.97	0.86	0.99	0.97	0.99	0.92	0.97
chr1	2954307	2954394	chr1	2954307	2954393	0.88	0.91	0.94	0.96	0.91	0.7	0.24	0.87	0.72	0.71	0.65	0.89	0.96	0.89	0.83	0.65	0.89	0.94	0.95	0.96	0.91	0.9	0.95	0.93	0.86	0.73	0.92	0.86	0.95	0.87	0.85
chr1	3182540	3182737	chr1	3182540	3182736	0.83	0.84	0.93	0.95	0.91	0.91	0.91	0.89	0.88	0.17	0.6	0.9	0.94	0.76	0.5	0.77	0.93	0.93	0.94	0.94	0.95	0.82	0.96	0.88	0.75	0.86	0.86	0.95	0.95	0.93	0.96
chr1	3182821	3182986	chr1	3182821	3182985	0.93	0.97	0.98	0.98	0.85	0.98	0.99	0.91	0.97	0.42	0.96	0.93	1.0	0.39	0.16	0.77	0.99	0.99	0.99	1.0	1.0	0.95	1.0	0.97	0.98	0.93	0.93	0.99	0.99	0.99	1.0
chr1	3196488	3196578	chr1	3196488	3196577	0.6	0.79	0.93	0.96	0.96	0.75	0.2	0.81	0.96	0.9	0.93	0.86	0.97	0.89	0.65	0.64	0.89	0.91	0.92	0.95	0.92	0.72	0.84	0.93	0.85	0.73	0.82	0.91	0.91	0.91	0.94
chr1	3210410	3210462	chr1	3210410	3210461	0.91	0.86	0.96	0.93	0.95	0.79	0.95	0.92	0.96	0.95	0.87	0.79	0.97	0.95	0.83	0.63	0.91	0.93	0.95	0.93	0.93	0.72	0.81	0.62	0.85	0.72	0.86	0.97	0.97	0.92	0.15
chr1	3278150	3278636	chr1	3278150	3278635	0.96	0.93	0.97	0.95	0.92	0.87	0.97	0.94	0.97	0.97	0.94	0.91	0.95	0.98	0.93	0.7	0.86	0.42	0.95	0.96	0.92	0.95	0.98	0.95	0.97	0.9	0.96	0.98	0.97	0.97	0.95
chr1	3496958	3497162	chr1	3496958	3497161	0.71	0.91	0.87	0.92	0.95	0.86	0.91	0.7	0.92	0.89	0.82	0.94	0.96	0.94	0.85	0.64	0.87	0.88	0.89	0.92	0.16	0.82	0.92	0.95	0.97	0.71	0.68	0.95	0.87	0.77	0.7
chr1	3519189	3519563	chr1	3519189	3519562	0.93	0.97	0.99	0.98	0.99	0.96	0.97	0.91	0.97	0.97	0.95	0.97	0.98	0.98	0.96	0.74	0.92	0.93	0.75	0.2	0.93	0.95	0.98	0.98	0.97	0.88	0.97	0.71	0.96	0.92	0.92
chr1	3563695	3563874	chr1	3563695	3563873	0.9	0.94	0.93	0.95	0.97	0.97	0.97	0.92	0.93	0.92	0.91	0.97	0.95	0.96	0.97	0.78	0.93	0.88	0.92	0.24	0.96	0.91	0.91	0.96	0.94	0.97	0.95	0.94	0.98	0.97	0.96
chr1	3695941	3696334	chr1	3695941	3696333	0.97	0.98	0.97	0.93	0.32	1.0	0.99	0.98	0.97	0.99	0.97	0.99	0.99	0.99	0.99	0.95	0.99	0.99	0.99	0.98	0.99	0.98	0.97	0.99	0.99	0.98	0.95	0.99	0.99	0.99	0.99
chr1	3751215	3751634	chr1	3751215	3751633	0.97	0.98	0.97	0.37	0.96	0.99	0.98	0.96	0.97	0.98	0.98	0.98	0.98	0.98	0.98	0.86	0.98	0.98	0.99	0.99	0.98	0.98	0.98	0.99	0.98	0.98	0.98	0.97	0.98	0.98	0.94
chr1	3759630	3760019	chr1	3759630	3760018	0.88	0.96	0.97	0.97	0.97	0.95	0.98	0.98	0.98	0.98	0.98	0.97	0.99	0.98	0.98	0.79	0.95	0.92	0.33	0.74	0.73	0.97	0.98	0.98	0.97	0.98	0.97	0.97	0.98	0.98	0.95
chr1	4285114	4285206	chr1	4285114	4285205	0.93	0.91	0.94	0.97	0.95	0.91	0.86	0.83	0.59	0.09	0.42	0.56	0.96	0.89	0.85	0.65	0.96	0.97	0.96	0.97	0.98	0.94	0.93	0.91	0.97	0.92	0.97	0.91	0.92	0.89	0.89
chr1	4914428	4914661	chr1	4914428	4914660	0.86	0.82	0.83	0.79	0.91	0.87	0.87	0.85	0.59	0.31	0.17	0.91	0.92	0.91	0.89	0.58	0.88	0.92	0.9	0.92	0.91	0.92	0.88	0.83	0.78	0.87	0.93	0.88	0.88	0.91	0.9
chr1	5036177	5036242	chr1	5036177	5036241	0.95	0.92	0.92	0.98	0.98	0.91	0.86	0.95	0.88	0.84	0.82	0.98	0.95	0.93	0.95	0.78	0.95	0.93	0.97	0.97	0.97	0.86	0.95	0.93	0.62	0.33	0.64	0.93	0.9	0.97	0.96
chr1	5874823	5875031	chr1	5874823	5875030	0.89	0.91	0.89	0.93	0.94	0.9	0.91	0.93	0.89	0.9	0.94	0.5	0.48	0.69	0.3	0.69	0.94	0.94	0.94	0.93	0.93	0.89	0.9	0.87	0.81	0.66	0.82	0.9	0.91	0.92	0.93
chr1	5894874	5894945	chr1	5894874	5894944	0.79	0.93	0.93	0.94	0.94	0.91	0.88	0.85	0.94	0.91	0.93	0.93	0.15	0.94	0.95	0.81	0.96	0.95	0.96	0.96	0.97	0.93	0.92	0.94	0.94	0.87	0.85	0.88	0.93	0.95	0.9
chr1	5902818	5902963	chr1	5902818	5902962	0.94	0.92	0.96	0.98	0.99	0.92	0.93	0.85	0.97	0.92	0.96	0.2	0.95	0.76	0.94	0.78	0.96	0.95	0.96	0.97	0.97	0.93	0.92	0.95	0.96	0.93	0.96	0.92	0.96	0.96	0.96
chr1	5982740	5982922	chr1	5982740	5982921	0.84	0.96	0.99	0.91	0.95	0.97	0.97	0.13	0.98	0.99	0.97	1.0	1.0	0.99	0.98	0.74	0.99	1.0	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	1.0	0.99	0.99	0.99
chr1	6008174	6008578	chr1	6008174	6008577	0.76	0.96	0.97	0.97	0.9	0.97	0.97	0.95	0.96	0.97	0.98	0.98	0.97	0.94	0.97	0.76	0.97	0.98	0.98	0.98	0.98	0.85	0.97	0.97	0.97	0.91	0.37	0.97	0.97	0.98	0.98
chr1	6019317	6019395	chr1	6019317	6019394	0.95	0.98	0.98	0.99	0.98	0.71	0.96	0.92	0.12	0.97	0.99	0.99	0.99	0.99	0.99	0.81	0.99	0.99	0.99	0.98	0.99	0.98	0.98	0.99	0.99	1.0	0.99	0.99	0.99	0.99	0.96
chr1	6035726	6035846	chr1	6035726	6035845	0.96	0.98	0.98	0.99	0.71	0.95	1.0	0.92	0.99	0.98	0.99	0.98	1.0	0.99	0.99	0.81	0.89	0.93	0.7	0.09	0.89	0.98	0.96	0.99	0.99	0.99	0.97	0.99	0.99	0.98	0.98
chr1	6100976	6101098	chr1	6100976	6101097	0.8	0.92	0.97	0.98	0.95	0.9	0.92	0.82	0.98	0.97	0.98	0.89	0.99	0.95	0.95	0.76	0.98	0.96	0.84	0.2	0.98	0.97	0.98	0.99	0.97	0.96	0.99	0.92	0.89	0.95	0.97
chr1	6116350	6116401	chr1	6116350	6116400	0.86	0.99	0.96	0.97	0.98	0.91	0.96	0.88	1.0	0.99	0.99	0.98	0.99	0.96	0.75	0.81	0.98	1.0	0.23	0.95	0.98	0.97	0.96	0.96	0.93	1.0	0.97	0.94	0.95	0.81	0.89
chr1	6116602	6116830	chr1	6116602	6116829	0.74	0.94	0.95	0.94	0.89	0.87	0.93	0.86	0.97	0.94	0.98	0.97	0.96	0.95	0.95	0.62	0.97	0.96	0.26	0.68	0.94	0.93	0.96	0.98	0.94	0.96	0.96	0.89	0.89	0.97	0.97
chr1	6293340	6293431	chr1	6293340	6293430	0.97	0.96	0.14	0.98	0.95	0.98	0.97	0.94	0.96	0.97	0.96	0.97	0.98	0.97	0.98	0.92	0.98	0.98	0.98	0.98	0.98	0.96	0.97	0.97	0.97	0.86	0.96	0.97	0.97	0.98	0.97
chr1	6329538	6329695	chr1	6329538	6329694	0.94	0.92	0.94	0.89	0.84	0.94	0.86	0.82	0.13	0.92	0.92	0.72	0.96	0.33	0.91	0.74	0.96	0.98	0.95	0.95	0.95	0.93	0.89	0.95	0.96	0.78	0.96	0.88	0.89	0.67	0.77
chr1	6377470	6377733	chr1	6377470	6377732	0.87	0.88	0.95	0.96	0.94	0.96	0.93	0.94	0.89	0.87	0.84	0.94	0.97	0.89	0.82	0.71	0.96	0.96	0.93	0.96	0.97	0.83	0.9	0.84	0.17	0.94	0.97	0.93	0.78	0.94	0.93
chr1	6702952	6703298	chr1	6702952	6703297	0.9	0.86	0.92	0.94	0.94	0.94	0.93	0.92	0.54	0.78	0.81	0.91	0.94	0.93	0.94	0.85	0.94	0.94	0.95	0.93	0.94	0.9	0.91	0.92	0.94	0.92	0.89	0.91	0.91	0.83	0.83
chr1	6750283	6750650	chr1	6750283	6750649	0.93	0.93	0.93	0.93	0.95	0.95	0.94	0.91	0.92	0.93	0.91	0.29	0.88	0.7	0.94	0.83	0.94	0.94	0.95	0.95	0.95	0.91	0.92	0.78	0.93	0.92	0.83	0.92	0.95	0.92	0.92
chr1	6938723	6938836	chr1	6938723	6938835	0.97	0.97	0.97	0.97	0.89	0.98	0.98	0.96	0.98	0.98	0.96	0.9	0.98	0.3	0.71	0.8	0.96	0.97	0.97	0.96	0.98	0.96	0.98	0.97	0.98	0.97	0.97	0.97	0.97	0.97	0.98
chr1	6956090	6956658	chr1	6956090	6956657	0.96	0.95	0.96	0.96	0.96	0.96	0.94	0.93	0.94	0.68	0.42	0.96	0.93	0.95	0.96	0.75	0.96	0.95	0.96	0.95	0.96	0.95	0.94	0.96	0.96	0.95	0.96	0.94	0.94	0.96	0.96
chr1	6977717	6977906	chr1	6977717	6977905	0.93	0.92	0.96	0.95	0.95	0.93	0.94	0.94	0.93	0.93	0.93	0.91	0.93	0.89	0.93	0.73	0.91	0.88	0.92	0.83	0.94	0.92	0.94	0.33	0.73	0.87	0.64	0.93	0.91	0.58	0.88
chr1	7739606	7739847	chr1	7739606	7739846	0.95	0.95	0.96	0.96	0.83	0.98	0.97	0.98	0.99	0.98	0.99	0.99	0.98	0.97	0.97	0.71	0.97	0.98	0.98	0.98	0.96	0.97	0.98	0.97	0.97	0.97	0.97	0.98	0.97	0.9	0.23
chr1	8019113	8019208	chr1	8019113	8019207	0.84	0.96	0.96	0.89	0.97	0.12	0.94	0.93	0.95	0.96	0.97	0.98	0.97	0.97	0.93	0.81	0.99	0.98	0.95	0.86	0.98	0.95	0.91	0.98	0.98	0.98	0.93	0.96	0.97	0.96	0.97
chr1	8043300	8043852	chr1	8043300	8043851	0.97	0.98	0.96	0.96	0.96	0.51	0.97	0.86	0.97	0.97	0.98	0.92	0.98	0.98	0.91	0.9	0.98	0.99	0.98	0.97	0.98	0.97	0.97	0.97	0.98	0.41	0.92	0.98	0.98	0.98	0.99
chr1	8051176	8051743	chr1	8051176	8051742	0.96	0.97	0.97	0.97	0.91	0.97	0.96	0.94	0.96	0.98	0.97	0.96	0.86	0.96	0.97	0.8	0.97	0.98	0.97	0.97	0.97	0.92	0.23	0.97	0.97	0.97	0.97	0.96	0.97	0.97	0.96
chr1	8192695	8193169	chr1	8192695	8193168	0.96	0.96	0.97	0.97	0.97	0.98	0.96	0.95	0.97	0.97	0.96	0.96	0.84	0.97	0.98	0.71	0.95	0.94	0.96	0.97	0.94	0.76	0.35	0.88	0.93	0.9	0.86	0.75	0.97	0.96	0.95
chr1	8212966	8213183	chr1	8212966	8213182	0.98	0.99	0.97	0.98	0.99	0.97	0.99	0.96	0.99	0.98	0.99	0.99	1.0	0.99	0.99	0.69	0.06	0.35	0.94	0.99	0.97	0.98	0.99	0.99	0.98	0.99	0.99	0.99	0.98	0.99	0.99
chr1	9109006	9109633	chr1	9109006	9109632	0.98	0.98	0.99	0.99	0.99	0.98	0.98	0.93	0.96	0.96	0.99	0.98	0.91	0.99	0.99	0.74	0.97	0.98	0.98	0.99	0.99	0.98	0.98	0.88	0.99	0.99	0.99	0.83	0.94	0.1	0.59
chr1	9251302	9251482	chr1	9251302	9251481	0.88	0.94	0.99	0.98	0.98	0.97	0.97	0.83	0.97	0.98	0.97	0.64	0.98	0.95	0.99	0.73	0.32	0.8	0.96	0.98	0.98	0.98	0.96	0.99	0.99	0.97	0.99	0.97	0.96	0.98	0.98
chr1	9252941	9253192	chr1	9252941	9253191	0.8	0.79	0.86	0.92	0.84	0.93	0.9	0.65	0.86	0.86	0.86	0.86	0.77	0.82	0.85	0.59	0.34	0.53	0.84	0.82	0.6	0.79	0.76	0.83	0.84	0.77	0.78	0.86	0.85	0.88	0.84
chr1	9373885	9374190	chr1	9373885	9374189	0.98	0.98	0.99	0.96	0.98	0.98	0.97	0.97	0.98	0.98	0.99	0.98	0.19	0.96	0.97	0.69	0.97	0.97	0.98	0.98	0.98	0.95	0.93	0.98	0.98	0.97	0.98	0.98	0.98	0.97	0.98
chr1	9426820	9427135	chr1	9426820	9427134	0.91	0.94	0.96	0.93	0.91	0.97	0.95	0.95	0.95	0.94	0.95	0.96	0.97	0.95	0.95	0.64	0.92	0.85	0.94	0.94	0.94	0.25	0.45	0.82	0.9	0.94	0.92	0.93	0.95	0.95	0.94
chr1	9614271	9614521	chr1	9614271	9614520	0.99	0.98	0.99	0.99	0.99	0.07	0.99	0.98	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.86	0.99	0.98	0.97	0.98	0.99	0.99	0.99	0.98	0.98	0.99	1.0	0.98	0.98	0.98	0.99
chr1	9693645	9693806	chr1	9693645	9693805	0.73	0.81	0.94	0.93	0.95	0.91	0.94	0.87	0.93	0.92	0.96	0.89	0.93	0.93	0.92	0.66	0.92	0.92	0.3	0.77	0.88	0.9	0.92	0.95	0.86	0.94	0.97	0.91	0.89	0.91	0.88
chr1	9912212	9912434	chr1	9912212	9912433	0.9	0.93	0.94	0.82	0.25	0.95	0.94	0.93	0.67	0.89	0.79	0.93	0.94	0.77	0.92	0.65	0.94	0.92	0.92	0.87	0.94	0.87	0.91	0.94	0.96	0.92	0.65	0.9	0.93	0.95	0.94
chr1	10173409	10173952	chr1	10173409	10173951	0.98	0.98	0.98	0.26	0.92	0.99	0.98	0.97	0.98	0.97	0.99	0.97	0.97	0.98	0.98	0.92	0.99	0.98	0.99	0.98	0.99	0.97	0.96	0.99	0.99	0.99	0.97	0.96	0.98	0.98	0.99
chr1	10211349	10211689	chr1	10211349	10211688	0.87	0.91	0.89	0.91	0.91	0.78	0.92	0.86	0.86	0.88	0.88	0.9	0.91	0.9	0.92	0.79	0.91	0.93	0.71	0.21	0.91	0.87	0.87	0.89	0.85	0.9	0.9	0.91	0.9	0.89	0.88
chr1	10310275	10310554	chr1	10310275	10310553	0.97	0.97	0.97	0.97	0.94	0.97	0.97	0.96	0.97	0.97	0.98	0.94	0.97	0.98	0.95	0.71	0.95	0.96	0.93	0.27	0.96	0.97	0.97	0.97	0.95	0.97	0.97	0.97	0.97	0.95	0.96
chr1	10421666	10422105	chr1	10421666	10422104	0.96	0.97	0.18	0.97	0.95	0.98	0.98	0.96	0.97	0.9	0.97	0.98	0.99	0.98	0.97	0.72	0.98	0.97	0.98	0.98	0.98	0.95	0.92	0.97	0.97	0.99	0.98	0.97	0.98	0.98	0.98
